snapshot_ts_utc,symbol,long_pct,short_pct,total_positions,long_positions,short_positions,long_volume_lots,short_volume_lots
2011-10-07T21:49:00Z,EURGBP,57.0,42.0,609,355,254,2835.1,2102.55
2011-10-07T21:49:00Z,EURJPY,88.0,11.0,826,522,304,16131.35,2052.01
2011-10-07T21:49:00Z,EURUSD,78.0,21.0,4638,2536,2102,12591.67,3352.67
2011-10-07T21:49:00Z,GBPJPY,20.0,79.0,609,363,246,27.45,106.74
2011-10-07T21:49:00Z,GBPUSD,19.0,80.0,5434,2040,3394,826.93,3481.09
2011-10-07T21:49:00Z,USDCAD,17.0,82.0,923,430,493,1268.8,5978.82
2011-10-07T21:49:00Z,USDCHF,49.0,50.0,834,352,482,1107.63,1140.92
2011-10-07T21:49:00Z,USDJPY,50.0,49.0,1148,799,349,1265.47,1225.12
2011-10-11T08:50:03Z,AUDUSD,37.0,62.0,997,517,480,1313.05,2159.31
2011-10-11T08:50:03Z,EURCHF,47.0,52.0,524,226,298,1841.88,2039.52
2011-10-11T08:50:03Z,EURGBP,32.0,67.0,617,229,388,1025.23,2126.09
2011-10-11T08:50:03Z,EURJPY,33.0,66.0,885,452,433,1049.11,2071.74
2011-10-11T08:50:03Z,EURUSD,31.0,68.0,4979,2108,2871,1782.6,3919.6
2011-10-11T08:50:03Z,GBPJPY,39.0,60.0,603,352,251,48.75,73.74
2011-10-11T08:50:03Z,GBPUSD,37.0,62.0,5365,2262,3103,1816.34,2994.85
2011-10-11T08:50:03Z,USDCAD,15.0,84.0,1042,510,532,1243.45,6793.21
2011-10-11T08:50:03Z,USDCHF,62.0,37.0,1080,577,503,1942.19,1161.92
2011-10-11T08:50:03Z,USDJPY,52.0,47.0,1254,909,345,2094.88,1927.33
2011-10-23T04:06:28Z,AUDUSD,21.0,78.0,1032,505,527,1063.87,3945.77
2011-10-23T04:06:28Z,EURCHF,50.0,49.0,612,318,294,1081.96,1065.85
2011-10-23T04:06:28Z,EURGBP,26.0,73.0,580,249,331,1065.33,2933.39
2011-10-23T04:06:28Z,EURJPY,14.0,85.0,816,407,409,2062.26,11718.09
2011-10-23T04:06:28Z,EURUSD,14.0,85.0,4327,1644,2683,1578.92,9540.71
2011-10-23T04:06:28Z,GBPJPY,34.0,66.0,407,197,210,1038.47,2015.42
2011-10-23T04:06:28Z,GBPUSD,19.0,80.0,5971,1302,4669,2062.16,8533.08
2011-10-23T04:06:28Z,USDCAD,83.0,16.0,879,558,321,6101.73,1199.29
2011-10-23T04:06:28Z,USDCHF,78.0,21.0,815,468,347,3966.49,1093.59
2011-10-23T04:06:28Z,USDJPY,55.0,44.0,1435,1162,273,1380.63,1087.11
2011-11-07T02:18:30Z,AUDUSD,59.0,40.0,933,484,449,3365.32,2298.1
2011-11-07T02:18:30Z,EURCHF,79.0,20.0,724,418,306,4605.52,1183.15
2011-11-07T02:18:30Z,EURGBP,68.0,31.0,984,736,248,2468.91,1149.11
2011-11-07T02:18:30Z,EURJPY,9.0,91.0,968,520,448,2276.6,23017.26
2011-11-07T02:18:30Z,EURUSD,50.0,49.0,4795,2731,2064,3557.38,3509.82
2011-11-07T02:18:30Z,GBPJPY,33.0,66.0,441,142,299,2250.8,4423.84
2011-11-07T02:18:30Z,GBPUSD,12.0,87.0,4171,1464,2707,3488.99,24547.61
2011-11-07T02:18:30Z,USDCAD,35.0,64.0,824,362,462,1282.46,2334.75
2011-11-07T02:18:30Z,USDCHF,34.0,65.0,789,452,337,1218.82,2309.44
2011-11-07T02:18:30Z,USDJPY,51.0,49.0,1090,730,360,2436.39,2341.16
2011-11-23T15:44:36Z,AUDUSD,78.0,21.0,1711,1280,431,708685.02,197647.43
2011-11-23T15:44:36Z,EURCHF,49.0,50.0,1380,1082,298,59241.13,60915.97
2011-11-23T15:44:36Z,EURGBP,24.0,75.0,1359,631,728,54307.01,165315.26
2011-11-23T15:44:36Z,EURJPY,83.0,16.0,1231,957,274,98058.51,19997.36
2011-11-23T15:44:36Z,EURUSD,45.0,54.0,7556,4783,2773,561802.95,670606.95
2011-11-23T15:44:36Z,GBPJPY,98.0,1.0,759,514,245,321592.8,6465.75
2011-11-23T15:44:36Z,GBPUSD,72.0,27.0,7263,5978,1285,117047.39,45391.98
2011-11-23T15:44:36Z,USDCAD,6.0,93.0,1531,382,1149,6670.74,91020.25
2011-11-23T15:44:36Z,USDCHF,15.0,84.0,1088,478,610,12799.2,68263.25
2011-11-23T15:44:36Z,USDJPY,64.0,35.0,1399,973,426,85366.38,47940.0
2011-12-10T07:53:22Z,AUDUSD,44.0,55.0,1433,575,858,550857.28,700746.56
2011-12-10T07:53:22Z,EURCHF,75.0,24.0,1670,754,916,137094.69,45075.4
2011-12-10T07:53:22Z,EURGBP,43.0,56.0,1367,899,468,35753.51,47003.58
2011-12-10T07:53:22Z,EURJPY,89.0,10.0,1258,800,458,94553.87,10977.02
2011-12-10T07:53:22Z,EURUSD,56.0,43.0,6503,3738,2765,428828.59,335822.15
2011-12-10T07:53:22Z,GBPJPY,94.0,5.0,796,473,323,295225.67,17439.06
2011-12-10T07:53:22Z,GBPUSD,75.0,24.0,5269,2789,2480,76381.45,24363.94
2011-12-10T07:53:22Z,USDCAD,52.0,47.0,1173,696,477,50726.34,46137.7
2011-12-10T07:53:22Z,USDCHF,30.0,69.0,948,418,530,12579.55,28017.28
2011-12-10T07:53:22Z,USDJPY,91.0,8.0,1319,799,520,209483.37,18913.35
2012-01-04T10:53:02Z,AUDUSD,65.0,34.0,1879,571,1308,588897.49,314586.9
2012-01-04T10:53:02Z,EURCHF,85.0,14.0,2522,1878,644,64514.33,10962.93
2012-01-04T10:53:02Z,EURGBP,61.0,38.0,1783,1365,418,55603.64,35475.52
2012-01-04T10:53:02Z,EURJPY,85.0,14.0,1962,1487,475,110316.4,18235.7
2012-01-04T10:53:02Z,EURUSD,15.0,84.0,8835,4670,4165,545510.31,2906828.39
2012-01-04T10:53:02Z,GBPJPY,59.0,40.0,916,540,376,64702.52,43468.65
2012-01-04T10:53:02Z,GBPUSD,44.0,55.0,8412,2746,5666,88166.92,107811.91
2012-01-04T10:53:02Z,USDCAD,49.0,50.0,1812,1143,669,98137.2,102093.12
2012-01-04T10:53:02Z,USDCHF,61.0,38.0,1299,736,563,19222.89,11798.78
2012-01-04T10:53:02Z,USDJPY,94.0,6.0,2020,1717,303,249519.47,15917.86
2012-01-18T09:11:25Z,AUDUSD,67.0,32.0,2010,781,1229,548241.4,264477.23
2012-01-18T09:11:25Z,EURCHF,94.0,5.0,2917,2483,434,211962.52,11843.75
2012-01-18T09:11:25Z,EURGBP,30.0,69.0,2116,1023,1093,50464.24,115824.48
2012-01-18T09:11:25Z,EURJPY,91.0,8.0,2342,1754,588,143726.37,13761.26
2012-01-18T09:11:25Z,EURUSD,12.0,87.0,10461,5501,4960,725584.43,4934422.41
2012-01-18T09:11:25Z,GBPJPY,77.0,22.0,1116,775,341,153084.32,44683.79
