date,currency_pair,direction,amount_yen_billions,source_url
1994-06-27,USD/JPY,sell_JPY_buy_USD,76.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-29,USD/JPY,sell_JPY_buy_USD,44.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-30,USD/JPY,sell_JPY_buy_USD,14.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-07-01,USD/JPY,sell_JPY_buy_USD,70.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-07-11,USD/JPY,sell_JPY_buy_USD,29.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-07-12,USD/JPY,sell_JPY_buy_USD,5.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-08-18,USD/JPY,sell_JPY_buy_USD,16.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-08-19,USD/JPY,sell_JPY_buy_USD,38.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-08-22,USD/JPY,sell_JPY_buy_USD,25.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-08-23,USD/JPY,sell_JPY_buy_USD,37.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-08-24,USD/JPY,sell_JPY_buy_USD,25.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-08-25,USD/JPY,sell_JPY_buy_USD,6.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-09-06,USD/JPY,sell_JPY_buy_USD,18.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-09-14,USD/JPY,sell_JPY_buy_USD,29.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-09-19,USD/JPY,sell_JPY_buy_USD,14.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-09-20,USD/JPY,sell_JPY_buy_USD,15.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-10-03,USD/JPY,sell_JPY_buy_USD,15.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-10-14,USD/JPY,sell_JPY_buy_USD,19.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
