date,minister,source,max_level,n_fx_blocks,no_comment,matched_phrases,url
2024-04-17,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20240417.html
2024-04-18,鈴木,online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20240418.html
2024-04-23,鈴木,online,3,2,0,L2:望ましくない/緊張感/行き過ぎた動き/過度な変動;L3:適切な対応/適切に対応,https://www.mof.go.jp/public_relations/conference/my20240423.html
2024-04-26,鈴木,online,3,3,1,L1:注視;L3:万全な対応,https://www.mof.go.jp/public_relations/conference/my20240426.html
2024-05-03,鈴木,online,2,6,1,L2:行き過ぎた動き,https://www.mof.go.jp/public_relations/conference/my20240503.html
2024-05-10,鈴木,online,3,2,0,L3:適切な対応,https://www.mof.go.jp/public_relations/conference/my20240510.html
2024-05-14,鈴木,online,3,3,0,L1:注視;L2:過度な変動;L3:万全な対応/必要な対応,https://www.mof.go.jp/public_relations/conference/my20240514.html
2024-05-17,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240517.html
2024-05-21,鈴木,online,3,4,0,L1:注視;L2:望ましくない;L3:必要な対応/適切な対応,https://www.mof.go.jp/public_relations/conference/my20240521.html
2024-05-25,鈴木,online,2,1,0,L2:過度な変動,https://www.mof.go.jp/public_relations/conference/my20240525.html
2024-05-28,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240528.html
2024-05-31,鈴木,online,3,3,0,L2:行き過ぎた動き;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20240531.html
2024-06-04,鈴木,online,3,1,0,L1:注視;L2:過度な変動;L3:万全の対応/投機的な動き,https://www.mof.go.jp/public_relations/conference/my20240604.html
2024-06-07,鈴木,online,3,5,1,L1:注視;L2:急激な変動;L3:万全な対応/投機,https://www.mof.go.jp/public_relations/conference/my20240607.html
