baseline_N,baseline_PF,baseline_PnL,entry_type,gate,gate_N,gate_PF,gate_PnL,reason,verdict
675,0.910343,-41.711209,sr_fib_confluence,RANGING,179,0.90249,-11.696444,baseline_negative_no_edge,CATASTROPHIC
675,0.910343,-41.711209,sr_fib_confluence,CHOP,467,0.909518,-29.499367,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,sr_liquidity_grab,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,sr_liquidity_grab,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,sr_liquidity_grab,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,stoch_trend_pullback,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,stoch_trend_pullback,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,stoch_trend_pullback,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
472,2.259734,440.413454,streak_reversal,TRENDING,105,3.159914,128.878142,not_catastrophic,NOT_CATASTROPHIC
472,2.259734,440.413454,streak_reversal,RANGING,94,2.316252,94.304838,not_catastrophic,NOT_CATASTROPHIC
472,2.259734,440.413454,streak_reversal,CHOP,273,1.99513,217.230474,not_catastrophic,NOT_CATASTROPHIC
0,0.0,0,three_bar_reversal,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,three_bar_reversal,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,three_bar_reversal,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,tokyo_nakane_momentum,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,tokyo_nakane_momentum,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,tokyo_nakane_momentum,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
21,1.177,2.412975,tokyo_range_breakout_up,TRENDING,7,2.036379,2.953266,gate_N_lt_30,CATASTROPHIC
21,1.177,2.412975,tokyo_range_breakout_up,RANGING,2,0.0,-4.512967,pnl_sign_flip,CATASTROPHIC
21,1.177,2.412975,tokyo_range_breakout_up,CHOP,12,1.633596,3.972676,gate_N_lt_30,CATASTROPHIC
0,0.0,0,trend_rebound,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,trend_rebound,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,trend_rebound,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
167,1.846443,105.868026,trendline_sweep,TRENDING,22,6.953889,31.071851,gate_N_lt_30,CATASTROPHIC
167,1.846443,105.868026,trendline_sweep,RANGING,53,1.086062,4.679565,not_catastrophic,NOT_CATASTROPHIC
167,1.846443,105.868026,trendline_sweep,CHOP,92,2.070795,70.11661,not_catastrophic,NOT_CATASTROPHIC
61,1.219794,11.211018,turtle_soup,TRENDING,3,0.372481,-3.0269,pnl_sign_flip,CATASTROPHIC
61,1.219794,11.211018,turtle_soup,RANGING,27,1.17894,4.020945,gate_N_lt_30,CATASTROPHIC
61,1.219794,11.211018,turtle_soup,CHOP,31,1.430869,10.216973,not_catastrophic,NOT_CATASTROPHIC
0,0.0,0,vdr_jpy,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vdr_jpy,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vdr_jpy,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
107,1.80819,79.456933,vix_carry_unwind,TRENDING,51,1.535967,28.625665,not_catastrophic,NOT_CATASTROPHIC
107,1.80819,79.456933,vix_carry_unwind,RANGING,15,1.93475,11.707529,gate_N_lt_30,CATASTROPHIC
107,1.80819,79.456933,vix_carry_unwind,CHOP,41,2.208247,39.123739,not_catastrophic,NOT_CATASTROPHIC
0,0.0,0,vol_momentum_scalp,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vol_momentum_scalp,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vol_momentum_scalp,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
80,0.747006,-15.195535,vol_spike_mr,TRENDING,16,0.419207,-8.007625,baseline_negative_no_edge,CATASTROPHIC
80,0.747006,-15.195535,vol_spike_mr,RANGING,12,1.134885,1.131857,baseline_negative_no_edge,CATASTROPHIC
80,0.747006,-15.195535,vol_spike_mr,CHOP,52,0.780389,-8.319767,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vsg_jpy_reversal,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vsg_jpy_reversal,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vsg_jpy_reversal,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vwap_mean_reversion,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vwap_mean_reversion,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,vwap_mean_reversion,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
101,0.891269,-8.45182,wick_imbalance_reversion,TRENDING,17,0.638845,-4.369785,baseline_negative_no_edge,CATASTROPHIC
101,0.891269,-8.45182,wick_imbalance_reversion,RANGING,16,1.085563,0.94884,baseline_negative_no_edge,CATASTROPHIC
101,0.891269,-8.45182,wick_imbalance_reversion,CHOP,68,0.907762,-5.030875,baseline_negative_no_edge,CATASTROPHIC
810,1.075121,43.412516,xs_momentum,TRENDING,325,1.258294,53.28801,not_catastrophic,NOT_CATASTROPHIC
810,1.075121,43.412516,xs_momentum,RANGING,70,0.629203,-25.262399,pnl_sign_flip,CATASTROPHIC
810,1.075121,43.412516,xs_momentum,CHOP,415,1.050705,15.386905,not_catastrophic,NOT_CATASTROPHIC
