EV_pip,Kelly,N,PF,PnL,WR,Wilson_lo,condition,entry_type,wins
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,vsg_jpy_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,vsg_jpy_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,vsg_jpy_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,vwap_mean_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,vwap_mean_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,vwap_mean_reversion,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,vwap_mean_reversion,0
-0.083681,-0.066434,101,0.891269,-8.45182,0.544554,0.447578,baseline,wick_imbalance_reversion,55
-0.257046,-0.199526,17,0.638845,-4.369785,0.352941,0.173095,gated_TRENDING,wick_imbalance_reversion,6
0.059302,0.044336,16,1.085563,0.94884,0.5625,0.331782,gated_RANGING,wick_imbalance_reversion,9
-0.073983,-0.059771,68,0.907762,-5.030875,0.588235,0.469613,gated_CHOP,wick_imbalance_reversion,40
0.053596,0.043131,810,1.075121,43.412516,0.617284,0.583332,baseline,xs_momentum,500
0.163963,0.132638,325,1.258294,53.28801,0.646154,0.592736,gated_TRENDING,xs_momentum,210
-0.360891,-0.286238,70,0.629203,-25.262399,0.485714,0.372457,gated_RANGING,xs_momentum,34
0.037077,0.029769,415,1.050705,15.386905,0.616867,0.569224,gated_CHOP,xs_momentum,256
